route_id,trip_id,service_id,direction_id,shape_id
15224,2110200,1,0,74206
15224,2110201,1,1,78215
15224,2110202,1,0,76646
15224,2110203,1,1,74208
15224,2110205,1,0,74206
15224,2110206,1,1,74208
15224,2110207,1,0,74206
15224,2110208,1,1,74208
15224,2110209,1,0,74206
15224,2110210,1,1,74208
15224,2110211,1,0,74206
15224,2110212,1,1,74208
15224,2110213,1,0,74206
15224,2110214,1,1,74208
15224,2110215,1,0,76646
15224,2110216,1,1,76647
15224,2110217,1,0,74206
15224,2110218,1,1,74208
15224,2110219,1,0,74206
15224,2110220,1,1,76647
15224,2110222,1,0,74206
15224,2110223,1,1,74208
15224,2110224,1,0,74206
15224,2110225,1,1,74208
15224,2110227,1,0,74206
15224,2110228,1,1,74208
15224,2110229,1,0,74206
15224,2110230,1,1,74208
15224,2110231,1,0,74206
15224,2110232,1,1,74208
15224,2110233,1,0,76646
15224,2110234,1,1,76647
15224,2110235,1,0,74206
15224,2110236,1,1,74208
15172,2111028,21,0,74189
15172,2111029,21,1,74190
15172,2111030,21,0,74189
15172,2111031,21,1,74191
15172,2111032,21,0,74189
15172,2111033,21,1,74190
15172,2111034,21,0,74192
15172,2111035,21,1,74190
15172,2111036,21,0,74189
15172,2111037,21,1,74190
15172,2111038,21,0,74192
15172,2111039,21,1,74190
15172,2111041,21,0,74192
15172,2111042,21,1,74190
15172,2111043,21,0,74192
15172,2111044,21,1,74190
15172,2111045,21,0,74192
15172,2111046,21,1,74190
15172,2111048,21,0,74192
15172,2111049,21,1,74190
15172,2111050,21,0,74192
15172,2111051,21,1,74190
15172,2111053,21,0,74192
15172,2111054,21,1,74190
15172,2111056,21,0,74192
15172,2111057,21,1,74190
15172,2111059,21,0,74192
15172,2111060,21,1,74190
15172,2111061,21,0,74192
15172,2111062,21,1,74190
15172,2111063,21,0,74192
15172,2111064,21,1,74190
15172,2111065,21,0,74192
15172,2111066,21,1,74190
15172,2111067,21,0,74192
15172,2111068,21,1,74190
15172,2111070,21,0,74192
15172,2111071,21,1,74190
15172,2111072,21,0,74192
15172,2111073,21,1,74190
15172,2111074,21,0,74192
15172,2111075,21,1,74190
15172,2111076,21,0,74189
15172,2111077,21,1,74191
15172,2111078,21,0,74192
15172,2111079,21,1,74190
15172,2111080,21,0,74192
15172,2111081,21,1,74190
15172,2111083,21,0,74192
15172,2111084,21,1,74190
15172,2111085,21,0,74192
15172,2111086,21,1,74190
15172,2111087,21,1,74194
15172,2111088,21,0,74192
15172,2111089,21,1,74190
15172,2111090,21,0,74193
15172,2111092,21,0,74192
15172,2111093,21,1,74190
15172,2111095,21,0,74193
15172,2111097,21,0,74193
15172,2111099,21,0,74192
15172,2111100,21,1,74190
15172,2111101,21,0,74193
15172,2111103,21,0,74192
15172,2111104,21,1,74190
15172,2111106,21,0,74192
15172,2111107,21,1,74190
15172,2111108,21,0,74192
15172,2111109,21,1,74190
15172,2111110,21,0,74192
15172,2111111,21,1,74190
15172,2111113,21,0,74192
15172,2111114,21,1,74190
15172,2111115,21,0,74193
15172,2111117,21,0,74193
15216,2111417,1,0,74163
15216,2111418,1,1,84345
15216,2111419,1,0,74163
15216,2111421,1,0,74163
15216,2111422,1,1,84346
15216,2111423,1,0,74163
15216,2111425,1,0,74163
15216,2111426,1,1,84345
15216,2111427,1,0,74163
15216,2111428,1,1,84346
15216,2111429,1,0,74163
15216,2111430,1,0,74163
15216,2111432,1,1,84346
15216,2111433,1,0,74163
15216,2111434,1,1,84345
15216,2111435,1,0,74163
15216,2111436,1,1,84345
15216,2111437,1,0,74163
15216,2111438,1,1,84345
15216,2111439,1,1,84345
15216,2111440,1,0,74163
15216,2111441,1,1,84345
15216,2111443,1,0,74163
15216,2111444,1,1,84345
15216,2111447,1,0,74163
15216,2111448,1,1,84345
15216,2111449,1,0,74163
15216,2111450,1,1,84345
15216,2111451,1,0,74163
15216,2111452,1,1,84345
15216,2111454,1,0,74163
15216,2111455,1,1,84345
15216,2111457,1,0,77290
15216,2111458,1,1,84345
15216,2111459,1,0,74163
15216,2111460,1,1,84345
15216,2111461,1,0,77290
15216,2111462,1,1,84345
15216,2111463,1,0,74163
15216,2111464,1,1,84345
15216,2111465,1,0,77290
15216,2111466,1,1,84345
15216,2111467,1,0,74163
15216,2111468,1,1,84345
15216,2111470,1,0,77290
15216,2111471,1,1,84345
15216,2111472,1,0,74163
15216,2111473,1,1,84345
15216,2111474,1,0,77290
15216,2111475,1,1,84345
15216,2111477,1,0,74163
15216,2111478,1,1,84345
15216,2111480,1,1,84345
15216,2111481,1,0,74163
15216,2111482,1,1,84345
15216,2111485,1,0,74163
15216,2111486,1,1,84345
15216,2111488,1,0,74163
15216,2111489,1,1,84345
15216,2111490,1,0,74163
15216,2111491,1,1,84345
15216,2111493,1,1,84345
15216,2111494,1,0,154150
15216,2111495,1,1,84345
15214,2111775,1,0,154157
15214,2111776,1,1,154158
15214,2111777,1,0,154157
15214,2111778,1,1,154158
15214,2111779,1,0,154157
15214,2111780,1,1,154158
15214,2111781,1,0,154159
15214,2111782,1,1,154158
15214,2111783,1,0,154159
15214,2111784,1,1,154158
15214,2111785,1,0,154157
15214,2111786,1,1,154160
15214,2111787,1,0,154159
15214,2111788,1,1,154161
15214,2111789,1,0,154159
15214,2111790,1,1,154160
15214,2111791,1,0,154162
15214,2111792,1,1,154161
15214,2111794,1,0,154162
15214,2111795,1,1,154161
15214,2111797,1,0,154162
15214,2111798,1,1,154161
15214,2111799,1,0,154162
15214,2111800,1,1,154163
15214,2111801,1,0,154162
15214,2111802,1,1,154163
15214,2111804,1,0,154164
15214,2111805,1,1,154161
15214,2111806,1,0,154157
15214,2111807,1,1,154158
15214,2111809,1,0,154164
15214,2111810,1,1,154161
15214,2111812,1,0,154162
15214,2111813,1,1,154163
15214,2111814,1,0,154159
15214,2111815,1,1,154158
15214,2111816,1,0,154162
15214,2111817,1,1,154163
15214,2111819,1,0,154157
15214,2111820,1,1,154158
15214,2111821,1,0,154159
15214,2111822,1,1,154160
15214,2111823,1,0,154164
15214,2111824,1,1,154161
15214,2111825,1,0,154159
15214,2111826,1,1,154160
15214,2111828,1,0,154164
15214,2111829,1,1,154161
15214,2111831,1,0,154162
15214,2111832,1,1,154161
15214,2111834,1,0,154162
15214,2111835,1,1,154161
15214,2111836,1,0,154162
15214,2111837,1,1,154158
15214,2111838,1,0,154159
15214,2111839,1,1,154158
15214,2111840,1,0,154159
15214,2111841,1,1,154160
15168,2112145,1,0,133443
15168,2112146,1,1,133444
15168,2112147,1,0,136511
15168,2112148,1,1,133444
15168,2112149,1,0,133443
15168,2112150,1,1,133444
15168,2112151,1,0,133443
15168,2112152,1,1,133444
15168,2112153,1,0,133443
15168,2112154,1,1,133444
15168,2112155,1,0,133443
15168,2112156,1,1,133444
15168,2112157,1,0,133443
15168,2112158,1,1,133444
15168,2112159,1,0,133443
15168,2112160,1,1,133444
15168,2112161,1,0,133443
15168,2112162,1,1,133444
15168,2112163,1,0,133443
15168,2112164,1,1,133444
15168,2112165,1,0,133443
15168,2112166,1,1,133444
15168,2112167,1,0,133443
15168,2112168,1,1,133444
15168,2112172,1,0,133443
15168,2112173,1,1,133444
15168,2112174,1,0,133443
15168,2112175,1,1,133444
15168,2112176,1,0,133443
15168,2112177,1,1,133444
15168,2112179,1,0,133443
15168,2112180,1,1,133444
15168,2112181,1,0,133443
15168,2112182,1,1,133444
15168,2112183,1,0,133443
15168,2112184,1,1,133444
15168,2112186,1,0,133443
15168,2112187,1,1,133444
15168,2112188,1,0,133443
15168,2112189,1,1,133444
15168,2112190,1,0,133443
15168,2112191,1,1,133444
15168,2112192,1,0,133443
15168,2112193,1,1,133444
15168,2112194,1,0,133443
15168,2112195,1,1,133444
15168,2112196,1,0,133443
15168,2112197,1,1,133444
15168,2112198,1,0,133443
15168,2112199,1,1,133444
15168,2112200,1,0,133443
15168,2112201,1,1,133444
15168,2112203,1,0,133443
15168,2112204,1,1,133444
15168,2112205,1,0,133443
15168,2112206,1,1,133444
15168,2112207,1,0,133443
15168,2112208,1,1,133444
15168,2112209,1,0,133443
15168,2112210,1,1,133444
15168,2112211,1,0,133443
15168,2112212,1,1,133444
15168,2112213,1,0,133443
15168,2112214,1,1,133444
15168,2112216,1,0,133443
15168,2112217,1,1,133444
15168,2112221,1,0,133443
15168,2112222,1,1,133444
15168,2112224,1,0,133443
15168,2112225,1,1,133444
15168,2112226,1,0,133443
15168,2112227,1,1,133444
15802,2112432,1,0,74241
15802,2112433,1,1,74242
15802,2112435,1,0,74241
15802,2112436,1,1,74242
15802,2112437,1,0,74241
15802,2112438,1,1,74242
15802,2112439,1,0,74241
15802,2112440,1,1,74242
15802,2112441,1,0,74241
15802,2112442,1,1,74242
15802,2112443,1,0,74241
15802,2112444,1,1,74242
15802,2112445,1,0,74241
15802,2112446,1,1,74242
15802,2112447,1,0,74241
15802,2112448,1,1,74242
15802,2112449,1,0,74241
15802,2112450,1,1,74242
15802,2112452,1,0,74241
15802,2112453,1,1,74242
15802,2112454,1,0,74241
15802,2112455,1,1,74242
15802,2112457,1,0,74241
15802,2112458,1,1,74242
15802,2112459,1,0,74241
15802,2112460,1,1,74242
15802,2112461,1,0,74241
15802,2112462,1,1,74242
15802,2112463,1,0,74241
15802,2112464,1,1,74242
15802,2112465,1,0,74241
15802,2112466,1,1,74242
15802,2112467,1,0,74241
15802,2112468,1,1,74242
15802,2112470,1,0,74241
15802,2112471,1,1,74242
15802,2112472,1,0,74241
15802,2112473,1,1,74242
15802,2112474,1,0,74241
15802,2112475,1,1,74242
15802,2112476,1,0,74241
15802,2112477,1,1,74242
15802,2112479,1,0,74241
15802,2112480,1,1,74242
15802,2112482,1,0,74241
15802,2112483,1,1,74242
15802,2112485,1,0,74241
15802,2112486,1,1,74242
15802,2112487,1,0,74241
15802,2112488,1,1,74242
15200,2112831,1,0,154988
15200,2112832,1,0,154988
15200,2112833,1,0,154988
15200,2112834,1,0,154988
15200,2112835,1,0,154988
15200,2112836,1,0,154989
15200,2112837,1,0,154989
15200,2112838,1,0,155941
15200,2112840,1,0,154989
15200,2112841,1,0,154988
15200,2112843,1,0,154988
15200,2112844,1,0,154988
15200,2112845,1,0,154988
15200,2112846,1,0,154988
15200,2112847,1,0,154988
15200,2112848,1,0,154988
15200,2112849,1,0,154988
15200,2112850,1,0,154988
15200,2112851,1,0,154988
15200,2112852,1,0,154989
15200,2112853,1,0,154988
15200,2112854,1,0,154988
15200,2112855,1,0,154988
15200,2112856,1,0,154988
15200,2112857,1,0,154988
15200,2112858,1,0,155942
15200,2112860,1,0,155942
15200,2112862,1,0,155942
15200,2112864,1,0,155942
15200,2112866,1,0,155942
15200,2112868,1,0,155942
15200,2112870,1,0,155942
15200,2112877,1,0,154989
15187,2113368,5,1,154174
15187,2113369,5,1,154174
15187,2113370,5,0,74259
15187,2113371,5,1,74258
15187,2113372,5,0,154175
15187,2113373,5,1,74258
15187,2113374,5,0,74259
15187,2113375,5,1,74258
15187,2113376,5,0,154175
15187,2113377,5,1,74258
15187,2113378,5,0,74259
15187,2113379,5,1,74258
15187,2113380,5,0,154175
15187,2113381,5,1,74258
15187,2113382,5,0,74259
15187,2113383,5,1,74258
15187,2113384,5,0,154175
15187,2113385,5,1,74258
15187,2113386,5,0,74259
15187,2113387,5,1,74258
15187,2113388,5,0,154175
15187,2113389,5,1,74258
15187,2113390,5,0,74259
15187,2113391,5,1,74258
15187,2113392,5,0,154175
15187,2113393,5,1,74258
15187,2113394,5,0,74259
15187,2113395,5,1,74258
15187,2113396,5,0,154175
15187,2113397,5,1,74258
15187,2113398,5,0,74259
15187,2113399,5,1,74258
15187,2113400,5,0,154175
15187,2113401,5,1,74258
15187,2113402,5,0,74259
15187,2113403,5,1,74258
15187,2113404,5,0,154175
15187,2113405,5,1,74258
15187,2113406,5,0,74259
15187,2113407,5,1,74258
15187,2113408,5,0,154175
15187,2113409,5,1,74258
15187,2113410,5,0,74259
15187,2113411,5,1,74258
15187,2113412,5,0,154175
15187,2113413,5,1,74258
15187,2113414,5,0,74259
15187,2113415,5,1,74258
15187,2113416,5,0,154175
15187,2113417,5,1,74258
15187,2113418,5,0,154176
15187,2113420,5,0,154175
15187,2113421,5,1,74258
15187,2113422,5,0,154176
15187,2113424,5,0,154175
15187,2113425,5,1,74258
15187,2113426,5,0,154176
